Field,Type,Calculated,Description
id,integer,,Airbnb's unique identifier for the listing
name,string,,
host_id,integer,,
host_name,string,,
neighbourhood_group,text,Yes,The neighbourhood group as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
neighbourhood,text,Yes,The neighbourhood as geocoded using the latitude and longitude against neighborhoods as defined by open or public digital shapefiles.
latitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
longitude,numeric,,Uses the World Geodetic System (WGS84) projection for latitude and longitude.
room_type,string,,
price,currency,,"daily price in local currency. Note, $ sign may be used despite locale"
minimum_nights,integer,,minimum number of night stay for the listing (calendar rules may be different)
number_of_reviews,integer,,The number of reviews the listing has
last_review,date,Yes,The date of the last/newest review
reviews_per_month,numeric (2 decimal places),Yes,The number of reviews the listing has over the listing's lifetime (in months)
calculated_host_listings_count,integer,Yes,"The number of listings the host has in the current scrape, in the city/region geography."
availability_365,integer,Yes,avaliability_x. The availability of the listing x days in the future as determined by the calendar. Note a listing may not be available because it has been booked by a guest or blocked by the host.
